customer_id,month,tenure,monthly_usage,support_tickets,churn_next_month
0,1,29,55.14994528385039,2,0
1,1,24,45.87656184321331,1,0
2,1,30,46.15297492781188,0,0
3,1,22,46.59864154257482,0,0
4,1,27,42.69735103732461,1,0
5,1,3,53.31397866076219,3,1
6,1,14,45.99796919915271,0,0
7,1,7,58.37951856837311,2,0
8,1,4,52.47090876003804,1,1
9,1,26,35.12263900896179,1,1
10,1,31,42.727317257079136,2,0
11,1,29,38.1336462917049,1,1
12,1,24,38.29546564330789,0,0
13,1,8,44.43495206290389,2,0
14,1,28,53.45010745122851,1,0
15,1,24,58.60436101697887,2,0
16,1,35,53.69308820038107,3,0
17,1,15,45.639041963159,0,0
18,1,32,39.44999633126878,2,0
19,1,29,59.13993293871536,1,0
20,1,22,53.14447396516458,1,0
21,1,20,57.97304306968756,4,0
22,1,27,60.98986896111644,1,0
23,1,9,48.46437863339504,2,0
24,1,32,65.88948720968423,3,0
25,1,17,52.19662250265471,2,0
26,1,32,49.26111228175102,0,0
27,1,32,53.212378738668896,2,0
28,1,17,44.38537725320245,3,1
29,1,6,61.87212575146143,2,0
30,1,26,38.39469255147094,1,0
31,1,18,51.34850379844821,3,0
32,1,35,45.79506963813655,2,1
33,1,12,46.62030816373934,2,0
34,1,19,54.975532524935176,3,0
35,1,20,53.17587738586548,2,1
36,1,18,52.19866409593177,2,0
37,1,33,41.06516086112609,1,0
38,1,8,54.1958899524516,1,0
39,1,22,58.32428467969608,2,1
40,1,27,35.30899032012319,3,0
41,1,4,44.021139775098845,0,0
42,1,17,50.70733344174405,2,1
43,1,29,52.32478964091618,4,0
44,1,23,49.910368001517845,1,1
45,1,3,36.80744452662709,1,0
46,1,22,40.35441956767127,1,1
47,1,9,44.79390525545861,2,1
48,1,35,56.05437864931184,0,0
49,1,20,39.31279344500774,4,0
50,1,2,65.91638124901266,1,1
51,1,22,45.39356212622882,1,0
52,1,6,53.635356680957294,2,1
53,1,4,35.75749929237955,1,0
54,1,35,61.70748392761363,2,0
55,1,19,57.430127820839,1,0
56,1,23,65.05032861621093,0,1
57,1,34,45.38067465828195,1,0
58,1,1,67.77724957610107,1,0
59,1,22,59.05972208440917,0,0
60,1,5,48.55476099727343,1,0
61,1,26,45.96819264401801,2,0
62,1,23,48.2048364194608,0,1
63,1,32,54.99687200504407,2,0
64,1,2,51.35841667992015,2,0
65,1,33,47.71749122510592,5,0
66,1,12,53.04793494188026,0,0
67,1,26,45.81840384143525,2,0
68,1,11,53.696111295539765,2,0
69,1,35,55.45051307228579,2,0
70,1,24,52.243940043996375,1,0
71,1,35,59.36833219294007,0,0
72,1,20,46.61449525130312,2,1
73,1,12,58.39314390224799,3,0
74,1,16,36.46363919891828,2,1
75,1,14,47.225811905680736,3,0
76,1,12,57.911874354217225,3,0
77,1,27,54.768513865807,1,0
78,1,19,59.28553970544241,1,1
79,1,4,52.69988201297552,2,0
80,1,27,44.46624017075536,1,0
81,1,20,41.424185164396434,0,0
82,1,1,41.96622569162293,1,0
83,1,33,56.89257473038077,2,1
84,1,21,49.45543368635576,1,0
85,1,14,53.081402597197226,2,0
86,1,23,68.31842346574138,1,0
87,1,28,44.333613717158784,0,1
88,1,27,53.53404780621727,2,0
89,1,35,65.80936671372709,4,1
90,1,5,50.211111073664746,2,0
91,1,25,48.54223048810231,4,0
92,1,6,53.53965534406012,5,0
93,1,9,66.09223685207542,0,1
94,1,13,53.4653863587186,1,0
95,1,26,48.73678268365165,2,0
96,1,1,67.2859833990559,2,0
97,1,15,64.84272673954564,6,0
98,1,15,57.888508481969225,1,0
99,1,30,49.70337743166517,3,1
100,1,10,51.82432854846768,1,0
101,1,11,46.9492932057622,0,0
102,1,16,41.9899847612231,2,0
103,1,19,54.70138619938635,2,0
104,1,6,49.943757120363536,0,0
105,1,14,42.518061420645004,1,0
106,1,22,57.61083411680408,1,0
107,1,22,45.837090219715584,1,0
108,1,2,57.611216739030624,3,0
109,1,35,42.89651323362767,1,0
110,1,28,45.62741692605979,0,1
111,1,20,42.14761597108484,1,0
112,1,18,51.418946461180944,2,0
113,1,6,43.90972638937389,2,0
114,1,6,39.61145940944687,0,0
115,1,4,55.303753893524565,1,1
116,1,24,30.777923826702278,1,0
117,1,28,56.277137612441344,1,1
118,1,30,54.80733750099505,3,0
119,1,6,42.97955804161159,2,1
120,1,12,52.877780013771854,1,0
121,1,13,43.56546699916473,1,0
122,1,10,66.77606525474356,0,0
123,1,20,66.67193702147947,1,0
124,1,11,69.91902617774659,1,1
125,1,14,45.9646841749463,2,0
126,1,1,54.70435263502999,1,1
127,1,14,63.441072760601614,2,0
128,1,14,33.13514758660898,3,0
129,1,33,53.68622739738743,2,1
130,1,2,57.93928655852169,1,1
131,1,7,51.564963567115136,2,1
132,1,33,58.52737606367672,1,0
133,1,27,51.456438969222376,1,0
134,1,10,63.93676936885954,0,0
135,1,24,50.48950173823979,2,0
136,1,4,58.51080254972289,3,0
137,1,11,58.588459580160986,2,0
138,1,26,52.24424673444345,1,1
139,1,12,71.9485726671884,0,1
140,1,5,52.5348882958635,0,0
141,1,9,54.33693332250778,4,0
142,1,21,47.5803911309853,2,0
143,1,15,47.36689571945927,1,0
144,1,26,42.703164997918655,2,0
145,1,34,37.561146625073846,2,1
146,1,24,41.24583658523397,0,0
147,1,29,53.01745263486997,2,0
148,1,7,50.503712690247056,3,0
149,1,32,54.23558596306936,0,0
150,1,19,47.21578288159815,2,0
151,1,1,33.807215405358605,2,0
152,1,30,41.37977307780051,0,1
153,1,3,52.4296143851108,1,0
154,1,33,58.28542714517969,0,0
155,1,24,60.97244075995327,0,0
156,1,8,51.58996622109868,0,0
157,1,8,49.75723883210233,0,0
158,1,14,60.79844255528972,2,0
159,1,18,54.16259669747616,0,0
160,1,23,53.44255254594093,3,0
